orig	orig_type	dest	dest_type	int
HDAC2	gvirus	DNMT1	gcancer	cov2
PSMD8	gvirus	CFTR	gcancer	cov2
MAT2B	gvirus	DNMT1	gcancer	cov2
TLE1	gvirus	BCL9	gcancer	cov2
PSMD8	gvirus	RUNX3	gcancer	cov2
TCF12	gvirus	ATOH1	gcancer	cov2
SIL1	gvirus	KRAS	gcancer	cov2
MARK3	gvirus	KRAS	gcancer	cov2
AKAP9	gvirus	KRAS	gcancer	cov2
RAB5C	gvirus	EGFR	gcancer	cov2
HDAC2	gvirus	SALL4	gcancer	cov2
MOV10	gvirus	CCND1	gcancer	cov2
MOV10	gvirus	CDKN2A	gcancer	cov2
TLE1	gvirus	CCND1	gcancer	cov2
PSMD8	gvirus	CCND1	gcancer	cov2
SAV1	gvirus	STK4	gcancer	cov2
SIRT5	gvirus	NAMPT	gcancer	cov2
MOV10	gvirus	CCND2	gcancer	cov2
RAB14	gvirus	NRAS	gcancer	cov2
PSMD8	gvirus	CDKN1A	gcancer	cov2
TCF12	gvirus	MYB	gcancer	cov2
MARK3	gvirus	NRAS	gcancer	cov2
TRMT1	gvirus	METTL1	gcancer	cov2
AKAP9	gvirus	NRAS	gcancer	cov2
GTF2F2	gvirus	MYB	gcancer	cov2
RAB5C	gvirus	RAB25	gcancer	cov2
HDAC2	gvirus	SMAD4	gcancer	cov2
MOV10	gvirus	E2F2	gcancer	cov2
MOV10	gvirus	MYC	gcancer	cov2
TLE1	gvirus	MYC	gcancer	cov2
TLE1	gvirus	SMAD4	gcancer	cov2
RAB14	gvirus	RAB25	gcancer	cov2
NDUFAF2	gvirus	MYC	gcancer	cov2
RAB8A	gvirus	RAB25	gcancer	cov2
F2RL1	gvirus	PIK3CA	gcancer	cov2
UBE3A	gvirus	PTEN	gcancer	cov2
GNG5	gvirus	PIK3CA	gcancer	cov2
HDAC2	gvirus	STAT3	gcancer	cov2
HDAC2	gvirus	DNMT3B	gcancer	cov2
MOV10	gvirus	PTEN	gcancer	cov2
TLE1	gvirus	HNF1A	gcancer	cov2
PSMD8	gvirus	PTEN	gcancer	cov2
CSNK2A2	gvirus	PTEN	gcancer	cov2
MARK3	gvirus	BRAF	gcancer	cov2
AKAP9	gvirus	BRAF	gcancer	cov2
MAT2B	gvirus	DNMT3B	gcancer	cov2
TYK2	grisk	EGFR	gcancer	risk
TYK2	grisk	STAT3	gcancer	risk
TYK2	grisk	PIK3CA	gcancer	risk
NOTCH4	grisk	FBXW7	gcancer	risk
