orig	orig_type	dest	dest_type	int
PRKAR2A	gvirus	PRKAR1A	gcancer	cov2
NUP98	gvirus	MEIS1	gcancer	cov2
PRKACA	gvirus	PRKAR1A	gcancer	cov2
SNRNP48	gvirus	SF3B3	gcancer	cov2
GNB1	gvirus	PRKAR1A	gcancer	cov2
RNPC3	gvirus	SF3B3	gcancer	cov2
SNIP1	gvirus	SF3B3	gcancer	cov2
NUP214	gvirus	SMAD4	gcancer	cov2
RHOA	gvirus	VEGFA	gcancer	cov2
RHOA	gvirus	MYC	gcancer	cov2
BRD4	gvirus	MYC	gcancer	cov2
PRKACA	gvirus	VEGFA	gcancer	cov2
PLAT	gvirus	VEGFA	gcancer	cov2
SNIP1	gvirus	SMAD4	gcancer	cov2
RHOA	gvirus	MET	gcancer	cov2
RHOA	gvirus	PTEN	gcancer	cov2
CSNK2B	gvirus	PTEN	gcancer	cov2
PRKACA	gvirus	STK11	gcancer	cov2
PRKACA	gvirus	BRAF	gcancer	cov2
USP13	gvirus	PTEN	gcancer	cov2
PMPCA	gvirus	PTEN	gcancer	cov2
HMOX1	gvirus	FOS	gcancer	cov2
BAG5	gvirus	LRRK2	gcancer	cov2
NUTF2	gvirus	CTNNB1	gcancer	cov2
SLC9A3R1	gvirus	CTNNB1	gcancer	cov2
DNMT1	gvirus	RASSF1	gcancer	cov2
RBX1	gvirus	CTNNB1	gcancer	cov2
COMMD5	gvirus	VHL	gcancer	cov2
RNF41	gvirus	VHL	gcancer	cov2
AP3B1	gvirus	SRC	gcancer	cov2
ARF6	gvirus	SRC	gcancer	cov2
CUL2	gvirus	VHL	gcancer	cov2
ITGB1	gvirus	SRC	gcancer	cov2
FBXL12	gvirus	VHL	gcancer	cov2
COMMD10	gvirus	VHL	gcancer	cov2
RBX1	gvirus	VHL	gcancer	cov2
PTPN13	gvirus	SRC	gcancer	cov2
DNMT1	gvirus	TP53	gcancer	cov2
HMOX1	gvirus	TP53	gcancer	cov2
COMMD5	gvirus	COMMD10	gcancer	cov2
BRD2	gvirus	KRAS	gcancer	cov2
RNF41	gvirus	HACE1	gcancer	cov2
POLA1	gvirus	RB1	gcancer	cov2
AP3B1	gvirus	KRAS	gcancer	cov2
PRIM1	gvirus	RB1	gcancer	cov2
CUL2	gvirus	HACE1	gcancer	cov2
CUL2	gvirus	COMMD10	gcancer	cov2
DNMT1	gvirus	RB1	gcancer	cov2
POLA2	gvirus	RB1	gcancer	cov2
CCDC93	gvirus	COMMD10	gcancer	cov2
FBXL12	gvirus	HACE1	gcancer	cov2
FBXL12	gvirus	COMMD10	gcancer	cov2
RBX1	gvirus	HACE1	gcancer	cov2
RBX1	gvirus	COMMD10	gcancer	cov2
SLC9A3R1	gvirus	EGFR	gcancer	cov2
RNF41	gvirus	EGFR	gcancer	cov2
AP2M1	gvirus	EGFR	gcancer	cov2
ARF6	gvirus	EGFR	gcancer	cov2
ARF6	gvirus	CDKN2A	gcancer	cov2
CUL2	gvirus	SPOP	gcancer	cov2
ITGB1	gvirus	EGFR	gcancer	cov2
RBX1	gvirus	SPOP	gcancer	cov2
RIPK1	gvirus	SQSTM1	gcancer	cov2
ERC1	gvirus	SQSTM1	gcancer	cov2
CWC27	gvirus	SF3B3	gcancer	cov2
SLC9A3R1	gvirus	PRKAR1A	gcancer	cov2
CPSF3	gvirus	SF3B3	gcancer	cov2
ITGB1	gvirus	PRKAR1A	gcancer	cov2
DNMT1	gvirus	MYC	gcancer	cov2
DCTPP1	gvirus	NT5C1A	gcancer	cov2
ITGB1	gvirus	VEGFA	gcancer	cov2
ITGB1	gvirus	KIT	gcancer	cov2
ADAMTS1	gvirus	VEGFA	gcancer	cov2
HMOX1	gvirus	VEGFA	gcancer	cov2
SLC9A3R1	gvirus	PTEN	gcancer	cov2
AP3B1	gvirus	BRAF	gcancer	cov2
FGFR1OP	gvirus	STAT3	gcancer	cov2
ARF6	gvirus	MET	gcancer	cov2
DNMT1	gvirus	STAT3	gcancer	cov2
DNMT1	gvirus	PTEN	gcancer	cov2
ITGB1	gvirus	STAT3	gcancer	cov2
ITGB1	gvirus	MET	gcancer	cov2
ITGB1	gvirus	PTEN	gcancer	cov2
RBX1	gvirus	AMER1	gcancer	cov2
PTPN13	gvirus	STAT3	gcancer	cov2
PTPN13	gvirus	PTEN	gcancer	cov2
HMOX1	gvirus	STAT3	gcancer	cov2
POR	gvirus	FOS	gcancer	cov2
HDAC2	gvirus	SETD2	gcancer	cov2
STK4	gvirus	RASSF1	gcancer	cov2
UBE3A	gvirus	CTNNB1	gcancer	cov2
HDAC2	gvirus	CTNNB1	gcancer	cov2
TLE1	gvirus	CTNNB1	gcancer	cov2
PSMD8	gvirus	CTNNB1	gcancer	cov2
CSNK2A2	gvirus	CTNNB1	gcancer	cov2
SAV1	gvirus	RASSF1	gcancer	cov2
UBE3A	gvirus	VHL	gcancer	cov2
HERC2	gvirus	VHL	gcancer	cov2
MOV10	gvirus	SRC	gcancer	cov2
HECTD1	gvirus	VHL	gcancer	cov2
PSMD8	gvirus	VHL	gcancer	cov2
MARK3	gvirus	SRC	gcancer	cov2
COMMD1	gvirus	VHL	gcancer	cov2
AKAP9	gvirus	SRC	gcancer	cov2
GTF2F2	gvirus	CTR9	gcancer	cov2
LRRC41	gvirus	VHL	gcancer	cov2
GNG5	gvirus	CXCR4	gcancer	cov2
DNA2	gvirus	TP53	gcancer	cov2
SIRT5	gvirus	TP53	gcancer	cov2
UBE3A	gvirus	TP53	gcancer	cov2
TRIM59	gvirus	TP53	gcancer	cov2
HDAC2	gvirus	TP53	gcancer	cov2
MOV10	gvirus	TP53	gcancer	cov2
PSMD8	gvirus	TP53	gcancer	cov2
CSNK2A2	gvirus	TP53	gcancer	cov2
PRKAR2B	gvirus	BCL2	gcancer	cov2
GTF2F2	gvirus	METTL3	gcancer	cov2
MARK2	gvirus	SLC3A2	gcancer	cov2
HDAC2	gvirus	BAP1	gcancer	cov2
GTF2F2	gvirus	WTAP	gcancer	cov2
UBE3A	gvirus	HACE1	gcancer	cov2
HERC2	gvirus	HACE1	gcancer	cov2
SEPSECS	gvirus	KANK1	gcancer	cov2
HDAC2	gvirus	RB1	gcancer	cov2
HECTD1	gvirus	HACE1	gcancer	cov2
SIL1	gvirus	KRAS	gcancer	cov2
MARK3	gvirus	KRAS	gcancer	cov2
COMMD1	gvirus	COMMD10	gcancer	cov2
AKAP9	gvirus	KRAS	gcancer	cov2
LRRC41	gvirus	HACE1	gcancer	cov2
LRRC41	gvirus	COMMD10	gcancer	cov2
RAB5C	gvirus	EGFR	gcancer	cov2
MOV10	gvirus	CDKN2A	gcancer	cov2
PSMD8	gvirus	SPOP	gcancer	cov2
SLU7	gvirus	SF3B3	gcancer	cov2
PRKAR2B	gvirus	PRKAR1A	gcancer	cov2
GTF2F2	gvirus	SF3B3	gcancer	cov2
HDAC2	gvirus	SMAD4	gcancer	cov2
MOV10	gvirus	MYC	gcancer	cov2
TLE1	gvirus	MYC	gcancer	cov2
TLE1	gvirus	SMAD4	gcancer	cov2
NDUFAF2	gvirus	MYC	gcancer	cov2
SCCPDH	gvirus	VEGFA	gcancer	cov2
MARK2	gvirus	STK11	gcancer	cov2
UBE3A	gvirus	PTEN	gcancer	cov2
SIK3	gvirus	STK11	gcancer	cov2
HDAC2	gvirus	STAT3	gcancer	cov2
MOV10	gvirus	PTEN	gcancer	cov2
PSMD8	gvirus	AMER1	gcancer	cov2
PSMD8	gvirus	PTEN	gcancer	cov2
CSNK2A2	gvirus	PTEN	gcancer	cov2
MARK3	gvirus	BRAF	gcancer	cov2
AKAP9	gvirus	BRAF	gcancer	cov2
TYK2	grisk	EGFR	gcancer	risk
TYK2	grisk	STAT3	gcancer	risk
NOTCH4	grisk	VEGFA	gcancer	risk
