orig	orig_type	dest	dest_type	int
COMMD8	gvirus	LMO7	gcancer	cov2
RALA	gvirus	PPP2R1B	gcancer	cov2
RHOA	gvirus	EGFR	gcancer	cov2
RHOA	gvirus	JUN	gcancer	cov2
RHOA	gvirus	CCND1	gcancer	cov2
COMMD3	gvirus	LMO7	gcancer	cov2
UBAP2L	gvirus	BMI1	gcancer	cov2
RAB7A	gvirus	EGFR	gcancer	cov2
ZC3H18	gvirus	USP39	gcancer	cov2
PRKACA	gvirus	JAK2	gcancer	cov2
PRKACA	gvirus	JUN	gcancer	cov2
CCDC22	gvirus	LMO7	gcancer	cov2
COMMD9	gvirus	LMO7	gcancer	cov2
TRIM32	gvirus	LMO7	gcancer	cov2
AP2A2	gvirus	EGFR	gcancer	cov2
USP13	gvirus	USP39	gcancer	cov2
LOX	gvirus	EGFR	gcancer	cov2
STK3	gvirus	STRN4	gcancer	cov2
STK3	gvirus	PPP2R1B	gcancer	cov2
PRKAR2A	gvirus	BCL2L1	gcancer	cov2
RHOA	gvirus	CRK	gcancer	cov2
RHOA	gvirus	WNT5A	gcancer	cov2
UBAP2L	gvirus	CBX7	gcancer	cov2
GRPEL1	gvirus	DNAJB4	gcancer	cov2
PRKACA	gvirus	BCL2L1	gcancer	cov2
NGLY1	gvirus	RAD23B	gcancer	cov2
USP25	gvirus	RAD23B	gcancer	cov2
AP2A2	gvirus	WNT5A	gcancer	cov2
GNB1	gvirus	DNAJB4	gcancer	cov2
GNB1	gvirus	WNT5A	gcancer	cov2
TMED5	gvirus	WNT5A	gcancer	cov2
GGH	gvirus	PA2G4	gcancer	cov2
PTBP2	gvirus	QKI	gcancer	cov2
RALA	gvirus	NRAS	gcancer	cov2
RHOA	gvirus	NRAS	gcancer	cov2
PTGES2	gvirus	PA2G4	gcancer	cov2
GDF15	gvirus	IL6	gcancer	cov2
USP25	gvirus	TNFAIP1	gcancer	cov2
CYB5R3	gvirus	PA2G4	gcancer	cov2
TRIM32	gvirus	UBA7	gcancer	cov2
ANO6	gvirus	NRAS	gcancer	cov2
GNB1	gvirus	NRAS	gcancer	cov2
TBK1	gvirus	IL6	gcancer	cov2
RAB10	gvirus	RAB22A	gcancer	cov2
GGH	gvirus	IST1	gcancer	cov2
RHOA	gvirus	VEGFA	gcancer	cov2
RHOA	gvirus	MYC	gcancer	cov2
GORASP1	gvirus	ARCN1	gcancer	cov2
BRD4	gvirus	MYC	gcancer	cov2
TLE3	gvirus	MEN1	gcancer	cov2
TLE3	gvirus	TLE1	gcancer	cov2
CHMP2A	gvirus	IST1	gcancer	cov2
PABPC1	gvirus	CNOT4	gcancer	cov2
UBAP2L	gvirus	HDAC2	gcancer	cov2
PTGES2	gvirus	IST1	gcancer	cov2
RAB2A	gvirus	RAB22A	gcancer	cov2
RAB7A	gvirus	RAB22A	gcancer	cov2
PRKACA	gvirus	VEGFA	gcancer	cov2
PLAT	gvirus	VEGFA	gcancer	cov2
CYB5R3	gvirus	IST1	gcancer	cov2
AP2A2	gvirus	ARCN1	gcancer	cov2
STK3	gvirus	LATS2	gcancer	cov2
RAB1A	gvirus	RAB22A	gcancer	cov2
RAB14	gvirus	RAB1A	gcancer	cov2
RAB1A	gvirus	ARCN1	gcancer	cov2
COMMD8	gvirus	HIF1A	gcancer	cov2
GGH	gvirus	SERPINB3	gcancer	cov2
RHOA	gvirus	PIK3CA	gcancer	cov2
RHOA	gvirus	SYK	gcancer	cov2
RHOA	gvirus	NRG1	gcancer	cov2
RHOA	gvirus	MET	gcancer	cov2
RHOA	gvirus	PTEN	gcancer	cov2
COMMD3	gvirus	HIF1A	gcancer	cov2
BRD4	gvirus	EZH2	gcancer	cov2
CSNK2B	gvirus	PTEN	gcancer	cov2
PABPC1	gvirus	YBX1	gcancer	cov2
CSDE1	gvirus	YBX1	gcancer	cov2
UBAP2L	gvirus	EZH2	gcancer	cov2
PTGES2	gvirus	SERPINB3	gcancer	cov2
PRKACA	gvirus	STK11	gcancer	cov2
PRKACA	gvirus	BRAF	gcancer	cov2
PRKACA	gvirus	NRG1	gcancer	cov2
PRKACA	gvirus	ERBB3	gcancer	cov2
SNRNP48	gvirus	YBX1	gcancer	cov2
CCDC22	gvirus	HIF1A	gcancer	cov2
COMMD9	gvirus	HIF1A	gcancer	cov2
CYB5R3	gvirus	SERPINB3	gcancer	cov2
OS9	gvirus	HIF1A	gcancer	cov2
USP13	gvirus	PTEN	gcancer	cov2
GNB1	gvirus	PIK3CA	gcancer	cov2
PMPCA	gvirus	PTEN	gcancer	cov2
RNPC3	gvirus	YBX1	gcancer	cov2
PRKACA	gvirus	NF1	gcancer	cov2
TRIM32	gvirus	TRIM11	gcancer	cov2
WFS1	gvirus	IGFBP7	gcancer	cov2
AP3B1	gvirus	MAPK1	gcancer	cov2
AP3B1	gvirus	ARAF	gcancer	cov2
AP2M1	gvirus	MAPK1	gcancer	cov2
AP2M1	gvirus	NTRK1	gcancer	cov2
FBN1	gvirus	IGFBP7	gcancer	cov2
ARF6	gvirus	MAPK1	gcancer	cov2
MIB1	gvirus	NOTCH3	gcancer	cov2
RIPK1	gvirus	CYLD	gcancer	cov2
DNMT1	gvirus	TTF1	gcancer	cov2
DNMT1	gvirus	MECP2	gcancer	cov2
SCARB1	gvirus	ABCG1	gcancer	cov2
GLA	gvirus	MAPK1	gcancer	cov2
MFGE8	gvirus	IGFBP7	gcancer	cov2
HMOX1	gvirus	MAPK1	gcancer	cov2
HMOX1	gvirus	FOS	gcancer	cov2
RRP9	gvirus	RPS15A	gcancer	cov2
MRPS5	gvirus	RPS15A	gcancer	cov2
RNF41	gvirus	ITCH	gcancer	cov2
AP3B1	gvirus	FXR1	gcancer	cov2
RPL36	gvirus	RPS15A	gcancer	cov2
PRIM1	gvirus	OIP5	gcancer	cov2
CUL2	gvirus	ITCH	gcancer	cov2
SRP54	gvirus	RPS15A	gcancer	cov2
HS6ST2	gvirus	GPC5	gcancer	cov2
CEP55	gvirus	OIP5	gcancer	cov2
RHOA	gvirus	ITGB1	gcancer	cov2
ITGB1	gvirus	TGFBI	gcancer	cov2
FBXL12	gvirus	ITCH	gcancer	cov2
DNAJC19	gvirus	FXR1	gcancer	cov2
EXOSC8	gvirus	OIP5	gcancer	cov2
RBX1	gvirus	ITCH	gcancer	cov2
CENPF	gvirus	OIP5	gcancer	cov2
RAP1GDS1	gvirus	RAC1	gcancer	cov2
NUTF2	gvirus	CTNNB1	gcancer	cov2
PCNT	gvirus	HSP90AA1	gcancer	cov2
SLC9A3R1	gvirus	CTNNB1	gcancer	cov2
WFS1	gvirus	CDH2	gcancer	cov2
FGFR1OP	gvirus	HSP90AA1	gcancer	cov2
IL17RA	gvirus	TRAF6	gcancer	cov2
AP2M1	gvirus	NCALD	gcancer	cov2
FBN1	gvirus	CDH2	gcancer	cov2
ARF6	gvirus	RAC1	gcancer	cov2
CEP250	gvirus	HSP90AA1	gcancer	cov2
CUL2	gvirus	ZYG11A	gcancer	cov2
RIPK1	gvirus	HSP90AA1	gcancer	cov2
RIPK1	gvirus	NFKB1	gcancer	cov2
RIPK1	gvirus	TRAF6	gcancer	cov2
ECSIT	gvirus	TRAF6	gcancer	cov2
DNMT1	gvirus	RASSF1	gcancer	cov2
ERC1	gvirus	NFKB1	gcancer	cov2
ERC1	gvirus	TRAF6	gcancer	cov2
CDK5RAP2	gvirus	HSP90AA1	gcancer	cov2
ITGB1	gvirus	RAC1	gcancer	cov2
MFGE8	gvirus	CDH2	gcancer	cov2
TUBGCP3	gvirus	HSP90AA1	gcancer	cov2
RBX1	gvirus	ZYG11A	gcancer	cov2
RBX1	gvirus	NFKB1	gcancer	cov2
RBX1	gvirus	CTNNB1	gcancer	cov2
NLRX1	gvirus	TRAF6	gcancer	cov2
NINL	gvirus	HSP90AA1	gcancer	cov2
COMMD5	gvirus	UBE2M	gcancer	cov2
COMMD5	gvirus	FBXW2	gcancer	cov2
COMT	gvirus	BDNF	gcancer	cov2
SLC9A3R1	gvirus	AKT1	gcancer	cov2
RNF41	gvirus	UBE2M	gcancer	cov2
RNF41	gvirus	FBXW2	gcancer	cov2
RAE1	gvirus	NPM1	gcancer	cov2
AP3B1	gvirus	SRC	gcancer	cov2
AP3B1	gvirus	BCL2L11	gcancer	cov2
ARF6	gvirus	AKT1	gcancer	cov2
ARF6	gvirus	SRC	gcancer	cov2
CUL2	gvirus	UBE2M	gcancer	cov2
CUL2	gvirus	LIMD1	gcancer	cov2
CUL2	gvirus	FBXW2	gcancer	cov2
RIPK1	gvirus	MAP2K4	gcancer	cov2
SLC27A2	gvirus	RAP2B	gcancer	cov2
ACADM	gvirus	CREBBP	gcancer	cov2
DNMT1	gvirus	AKT1	gcancer	cov2
DNMT1	gvirus	ZEB1	gcancer	cov2
NUP210	gvirus	NPM1	gcancer	cov2
CEP55	gvirus	ECT2	gcancer	cov2
CEP55	gvirus	PTTG1	gcancer	cov2
NUP54	gvirus	NPM1	gcancer	cov2
ITGB1	gvirus	SRC	gcancer	cov2
FBXL12	gvirus	UBE2M	gcancer	cov2
FBXL12	gvirus	FBXW2	gcancer	cov2
COMMD10	gvirus	UBE2M	gcancer	cov2
COMMD10	gvirus	FBXW2	gcancer	cov2
RDX	gvirus	AKT1	gcancer	cov2
RBX1	gvirus	UBE2M	gcancer	cov2
RBX1	gvirus	LIMD1	gcancer	cov2
RBX1	gvirus	GLI1	gcancer	cov2
RBX1	gvirus	YY1	gcancer	cov2
RBX1	gvirus	FBXW2	gcancer	cov2
RBX1	gvirus	CREBBP	gcancer	cov2
CENPF	gvirus	ECT2	gcancer	cov2
CENPF	gvirus	PTTG1	gcancer	cov2
STOM	gvirus	RAP2B	gcancer	cov2
STOM	gvirus	CPNE1	gcancer	cov2
PTPN13	gvirus	SRC	gcancer	cov2
HMOX1	gvirus	AKT1	gcancer	cov2
HMOX1	gvirus	PTGS2	gcancer	cov2
TRIM3	gvirus	PML	gcancer	cov2
COMMD5	gvirus	SKP2	gcancer	cov2
RNF41	gvirus	SKP2	gcancer	cov2
RNF41	gvirus	ERBB2	gcancer	cov2
RAE1	gvirus	PML	gcancer	cov2
ARF6	gvirus	PXN	gcancer	cov2
ARF6	gvirus	TIAM1	gcancer	cov2
ARF6	gvirus	RAB1A	gcancer	cov2
CUL2	gvirus	SKP2	gcancer	cov2
YIF1A	gvirus	RAB1A	gcancer	cov2
DNMT1	gvirus	E2F3	gcancer	cov2
NUP210	gvirus	PML	gcancer	cov2
NUP54	gvirus	PML	gcancer	cov2
ITGB1	gvirus	PTP4A3	gcancer	cov2
ITGB1	gvirus	PXN	gcancer	cov2
FBXL12	gvirus	SKP2	gcancer	cov2
COMMD10	gvirus	SKP2	gcancer	cov2
RBX1	gvirus	SKP2	gcancer	cov2
RBX1	gvirus	APC	gcancer	cov2
COMMD5	gvirus	COPS5	gcancer	cov2
FBN1	gvirus	MMP2	gcancer	cov2
ARF6	gvirus	CRKL	gcancer	cov2
GFER	gvirus	COPS5	gcancer	cov2
CUL2	gvirus	COPS5	gcancer	cov2
RIPK1	gvirus	TNF	gcancer	cov2
TOR1A	gvirus	COPS5	gcancer	cov2
DNMT1	gvirus	DNMT3A	gcancer	cov2
DNMT1	gvirus	TP53	gcancer	cov2
ITGB1	gvirus	CRKL	gcancer	cov2
FBXL12	gvirus	COPS5	gcancer	cov2
DNAJC19	gvirus	TAZ	gcancer	cov2
COMMD10	gvirus	COPS5	gcancer	cov2
BCS1L	gvirus	TAZ	gcancer	cov2
TIMM10	gvirus	TAZ	gcancer	cov2
RBX1	gvirus	COPS5	gcancer	cov2
HMOX1	gvirus	TNF	gcancer	cov2
HMOX1	gvirus	TP53	gcancer	cov2
COMMD5	gvirus	KEAP1	gcancer	cov2
RNF41	gvirus	UBE2C	gcancer	cov2
RNF41	gvirus	KEAP1	gcancer	cov2
POLA1	gvirus	KIF4A	gcancer	cov2
PDZD11	gvirus	KIF4A	gcancer	cov2
AP3B1	gvirus	RAP1A	gcancer	cov2
AP2M1	gvirus	EGF	gcancer	cov2
AP2M1	gvirus	KIF4A	gcancer	cov2
ARF6	gvirus	HGF	gcancer	cov2
ARF6	gvirus	EGF	gcancer	cov2
CUL2	gvirus	UBE2C	gcancer	cov2
CUL2	gvirus	KEAP1	gcancer	cov2
SLC27A2	gvirus	RAP1A	gcancer	cov2
DNMT1	gvirus	SOX2	gcancer	cov2
CEP55	gvirus	UBE2C	gcancer	cov2
CEP55	gvirus	KIF4A	gcancer	cov2
ITGB1	gvirus	HGF	gcancer	cov2
ITGB1	gvirus	EGF	gcancer	cov2
ITGB1	gvirus	RAP1A	gcancer	cov2
FBXL12	gvirus	UBE2C	gcancer	cov2
FBXL12	gvirus	KEAP1	gcancer	cov2
COMMD10	gvirus	KEAP1	gcancer	cov2
RBX1	gvirus	UBE2C	gcancer	cov2
RBX1	gvirus	KEAP1	gcancer	cov2
CENPF	gvirus	UBE2C	gcancer	cov2
CENPF	gvirus	KIF4A	gcancer	cov2
STOM	gvirus	RAP1A	gcancer	cov2
HMOX1	gvirus	KEAP1	gcancer	cov2
COMMD5	gvirus	CUL3	gcancer	cov2
RRP9	gvirus	DHX33	gcancer	cov2
RNF41	gvirus	CUL3	gcancer	cov2
POLA1	gvirus	RFC5	gcancer	cov2
RAE1	gvirus	MDM2	gcancer	cov2
PRIM1	gvirus	RFC5	gcancer	cov2
CUL2	gvirus	CUL3	gcancer	cov2
RBM28	gvirus	DHX33	gcancer	cov2
DNMT1	gvirus	SMARCA5	gcancer	cov2
DNMT1	gvirus	SIRT1	gcancer	cov2
POLA2	gvirus	RFC5	gcancer	cov2
NUP210	gvirus	MDM2	gcancer	cov2
NUP54	gvirus	MDM2	gcancer	cov2
ITGB1	gvirus	VEGFC	gcancer	cov2
FBXL12	gvirus	CUL3	gcancer	cov2
COMMD10	gvirus	CUL3	gcancer	cov2
RBX1	gvirus	CUL3	gcancer	cov2
RBX1	gvirus	RFC5	gcancer	cov2
HMOX1	gvirus	MAPK8	gcancer	cov2
NUTF2	gvirus	CDH1	gcancer	cov2
BRD2	gvirus	KRAS	gcancer	cov2
BRD2	gvirus	RUNX3	gcancer	cov2
POLA1	gvirus	RB1	gcancer	cov2
POLA1	gvirus	CDC45	gcancer	cov2
AP3B1	gvirus	RAF1	gcancer	cov2
AP3B1	gvirus	KRAS	gcancer	cov2
IDE	gvirus	PTRH2	gcancer	cov2
FBN1	gvirus	ITGB1	gcancer	cov2
ARF6	gvirus	ITGB1	gcancer	cov2
PRIM1	gvirus	RB1	gcancer	cov2
PRIM1	gvirus	CDC45	gcancer	cov2
MIB1	gvirus	NOTCH1	gcancer	cov2
SLC27A2	gvirus	TMC6	gcancer	cov2
SLC27A2	gvirus	RAB37	gcancer	cov2
ECSIT	gvirus	ITGB1	gcancer	cov2
DNMT1	gvirus	CDH1	gcancer	cov2
DNMT1	gvirus	RB1	gcancer	cov2
POLA2	gvirus	RB1	gcancer	cov2
POLA2	gvirus	CDC45	gcancer	cov2
CEP55	gvirus	KIF2C	gcancer	cov2
CEP55	gvirus	CDC45	gcancer	cov2
RDX	gvirus	ROCK1	gcancer	cov2
EXOSC8	gvirus	TDP2	gcancer	cov2
RBX1	gvirus	NOTCH1	gcancer	cov2
CENPF	gvirus	KIF2C	gcancer	cov2
CENPF	gvirus	CDC45	gcancer	cov2
STOM	gvirus	TMC6	gcancer	cov2
STOM	gvirus	RAB37	gcancer	cov2
EXOSC3	gvirus	TDP2	gcancer	cov2
EXOSC2	gvirus	TDP2	gcancer	cov2
CWC27	gvirus	USP39	gcancer	cov2
COMMD5	gvirus	LMO7	gcancer	cov2
SLC9A3R1	gvirus	EGFR	gcancer	cov2
BRD2	gvirus	CCND1	gcancer	cov2
RNF41	gvirus	EGFR	gcancer	cov2
RNF41	gvirus	LMO7	gcancer	cov2
AP3B1	gvirus	JAK2	gcancer	cov2
FGFR1OP	gvirus	FGFR1	gcancer	cov2
AP2M1	gvirus	EGFR	gcancer	cov2
ARF6	gvirus	EGFR	gcancer	cov2
ARF6	gvirus	CDKN2A	gcancer	cov2
CUL2	gvirus	LMO7	gcancer	cov2
CPSF3	gvirus	USP39	gcancer	cov2
DNMT1	gvirus	BMI1	gcancer	cov2
DNMT1	gvirus	RBL2	gcancer	cov2
ITGB1	gvirus	EGFR	gcancer	cov2
FBXL12	gvirus	LMO7	gcancer	cov2
COMMD10	gvirus	LMO7	gcancer	cov2
RBX1	gvirus	LMO7	gcancer	cov2
RBX1	gvirus	JAK2	gcancer	cov2
RBX1	gvirus	PPP2R1B	gcancer	cov2
CENPF	gvirus	PPP2R1B	gcancer	cov2
HMOX1	gvirus	JUN	gcancer	cov2
AP2M1	gvirus	WNT5A	gcancer	cov2
ARF6	gvirus	CRK	gcancer	cov2
CUL2	gvirus	PSMA6	gcancer	cov2
DNMT1	gvirus	HELLS	gcancer	cov2
CEP55	gvirus	HELLS	gcancer	cov2
COL6A1	gvirus	ITGB1	gcancer	cov2
RBX1	gvirus	PSMA6	gcancer	cov2
RBX1	gvirus	RAD23B	gcancer	cov2
CWC27	gvirus	RBM5	gcancer	cov2
RRP9	gvirus	PA2G4	gcancer	cov2
RNF41	gvirus	UBA7	gcancer	cov2
WFS1	gvirus	IL6	gcancer	cov2
AP3B1	gvirus	NRAS	gcancer	cov2
AP3B1	gvirus	QKI	gcancer	cov2
FBN1	gvirus	IL6	gcancer	cov2
MIB1	gvirus	MARK2	gcancer	cov2
CUL2	gvirus	UBA7	gcancer	cov2
ECSIT	gvirus	TRIM59	gcancer	cov2
RBM28	gvirus	PA2G4	gcancer	cov2
CPSF3	gvirus	RBM5	gcancer	cov2
DNMT1	gvirus	IL6	gcancer	cov2
CEP55	gvirus	SPAG5	gcancer	cov2
CDK5RAP2	gvirus	SPAG5	gcancer	cov2
FBXL12	gvirus	UBA7	gcancer	cov2
GLA	gvirus	PA2G4	gcancer	cov2
MFGE8	gvirus	IL6	gcancer	cov2
